cp_hex	char	count	block	category	name
U+70B3	炳	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-70B3
U+70DC	烜	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-70DC
U+7147	煇	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7147
U+71AF	熯	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-71AF
U+71D5	燕	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-71D5
U+71DF	營	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-71DF
U+721B	爛	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-721B
U+7256	牖	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7256
U+7259	牙	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7259
U+7267	牧	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7267
U+727F	牿	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-727F
U+72C0	狀	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-72C0
U+7336	猶	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7336
U+7378	獸	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7378
U+7387	率	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7387
