cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+5169	兩	902594	U+4E24	两	20308	44.445	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6A3F	樿	399	U+692B	椫	9	44.333	kSimplifiedVariant,kTraditionalVariant
U+82E7	苧	5119	U+85B4	薴	116	44.129	kSimplifiedVariant,kTraditionalVariant
U+85EA	藪	15121	U+85AE	薮	343	44.085	kSimplifiedVariant,kTraditionalVariant
U+9F09	鼉	6607	U+9F0D	鼍	151	43.755	kSimplifiedVariant,kTraditionalVariant
U+6190	憐	81358	U+601C	怜	1883	43.207	kSimplifiedVariant,kTraditionalVariant
U+7649	癉	2591	U+7605	瘅	60	43.183	kSimplifiedVariant,kTraditionalVariant
U+87BB	螻	5595	U+877C	蝼	131	42.710	kSimplifiedVariant,kTraditionalVariant
U+7C3E	簾	48979	U+5E18	帘	1176	41.649	kSimplifiedVariant,kTraditionalVariant
U+9762	面	336503	U+9EB5	麵	8092	41.585	kSimplifiedVariant,kTraditionalVariant
U+66D6	曖	4071	U+66A7	暧	99	41.121	kSimplifiedVariant,kTraditionalVariant
U+92E3	鋣	287	U+94D8	铘	7	41.000	kSimplifiedVariant,kTraditionalVariant
U+74A6	璦	82	U+7477	瑷	2	41.000	kSimplifiedVariant,kTraditionalVariant
U+82B8	芸	11105	U+8553	蕓	273	40.678	kSimplifiedVariant,kTraditionalVariant
U+61E3	懣	2859	U+61D1	懑	71	40.268	kSimplifiedVariant,kTraditionalVariant
U+616A	慪	40	U+6004	怄	1	40.000	kSimplifiedVariant,kTraditionalVariant
U+9858	願	379039	U+613F	愿	9610	39.442	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+56C5	囅	505	U+5181	冁	13	38.846	kSimplifiedVariant,kTraditionalVariant
U+851E	蔞	5142	U+848C	蒌	133	38.662	kSimplifiedVariant,kTraditionalVariant
U+8C50	豐	175711	U+4E30	丰	4558	38.550	kSimplifiedVariant,kTraditionalVariant
U+5BEF	寯	112	U+3766	㝦	3	37.333	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8499	蒙	115670	U+77C7	矇	3156	36.651	kSimplifiedVariant,kTraditionalVariant
U+42B7	䊷	256	U+4336	䌶	7	36.571	kSimplifiedVariant,kTraditionalVariant
U+9EFD	黽	5905	U+9EFE	黾	162	36.451	kSimplifiedVariant,kTraditionalVariant
U+5B03	嬃	430	U+5AAD	媭	12	35.833	kSimplifiedVariant,kTraditionalVariant
U+6FDA	濚	280	U+6E81	溁	8	35.000	kSimplifiedVariant,kTraditionalVariant
U+5377	卷	604437	U+6372	捲	17282	34.975	kSimplifiedVariant,kTraditionalVariant
U+5630	嘰	174	U+53FD	叽	5	34.800	kSimplifiedVariant,kTraditionalVariant
U+559A	喚	46816	U+5524	唤	1346	34.782	kSimplifiedVariant,kTraditionalVariant
U+7026	瀦	5250	U+6F74	潴	152	34.539	kSimplifiedVariant,kTraditionalVariant
