replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+62D6	拖	12123	U+62D5	拕	1198	10.119	kSemanticVariant	GHJKpKT1V/AGTHKMP	GHJKpKT3
yes	U+7DDA	線	41269	U+7DAB	綫	4083	10.108	kSemanticVariant	GHJKpKT1V/ATJHKMP	GHJKpKMT3V/BJH
yes	U+5189	冉	25409	U+5184	冄	2515	10.103	kSemanticVariant	GHJKpKT1V/AGTHM	GJKpKMT3
yes	U+7CB3	粳	5269	U+7A09	稉	532	9.904	kSemanticVariant	GHJKpKT1/AGTHKMP	GJKpKT3
yes	U+9016	逖	7494	U+9037	逷	758	9.887	kSemanticVariant	GHJKpKT1/AGTH	GHJKpKT3
yes	U+6332	挲	2822	U+6331	挱	286	9.867	kSemanticVariant	GHJKpKT2/BGT	GHJKpT3
yes	U+7B87	箇	128608	U+4E2A	个	13187	9.753	kSemanticVariant	GHJKpKT1V/ATJKMP	GHJKpKT3V/AGJ
yes	U+84FA	蓺	2811	U+79C7	秇	291	9.660	kSemanticVariant	GHJKpKT2	GJT3
yes	U+6A5B	橛	6412	U+6A5C	橜	668	9.599	kSemanticVariant	GHJKpKT2V/CG	GJKpT3
yes	U+9452	鑒	55134	U+9373	鍳	5747	9.594	kSemanticVariant	GHJKpKT1/ATJHKMP	GHJKpKT3
yes	U+85DF	藟	2972	U+863D	蘽	311	9.556	kSemanticVariant	GHJKpKT2	GJKpKT3
yes	U+6196	憖	1428	U+616D	慭	151	9.457	kSimplifiedVariant,kTraditionalVariant	GHJKpKT2	GJKpT4
yes	U+868B	蚋	2496	U+8739	蜹	264	9.455	kSemanticVariant	GHJKpKT2/CT	GJKpKT3
yes	U+6C08	氈	3209	U+6BE1	毡	340	9.438	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJKpKT3/AG
yes	U+6DF6	淶	1790	U+6D9E	涞	190	9.421	kSimplifiedVariant,kTraditionalVariant	GHJKT2V	G/CG
yes	U+7E69	繩	55287	U+42F2	䋲	5885	9.395	kSemanticVariant	GHJKpKT1V/ATJHKMP	GJKpT3
yes	U+96B1	隱	180197	U+9690	隐	19303	9.335	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	GJ/AG
yes	U+6EF2	滲	5761	U+6E17	渗	618	9.322	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GJKT3/AG
yes	U+77B7	瞷	781	U+77AF	瞯	84	9.298	kSemanticVariant	GHKT2V	GHJKpKT3
yes	U+8523	蔣	29579	U+848B	蒋	3203	9.235	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	GJ/AGJ
yes	U+541D	吝	27697	U+608B	悋	3007	9.211	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJKpKT3V/CJ
yes	U+4F86	來	1664960	U+6765	来	180987	9.199	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GJKpKT4/AGJ
yes	U+8A6C	詬	5026	U+8A3D	訽	547	9.188	kSemanticVariant	GHJKpKT1/ATHM	GHJKpKT3
yes	U+541D	吝	27697	U+6061	恡	3035	9.126	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJKpKT3
yes	U+8941	襁	4320	U+7E66	繦	479	9.019	kSemanticVariant	GHJKpKT2/AGTKP	GJT3
yes	U+7CFE	糾	25327	U+7CFA	糺	2830	8.949	kSemanticVariant	GHJKpKT1V/ATJHKMP	GJKpKT3/CJ
yes	U+9109	鄉	305902	U+90F7	郷	34189	8.947	kSemanticVariant,kZVariant	GHJT1/ATHM	GJKpMT3/AJ
yes	U+5255	剕	722	U+480A	䠊	81	8.914	kSemanticVariant	GHJKpKT2	GJKpKT3
yes	U+7CDD	糝	4195	U+7CC1	糁	476	8.813	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/AT	GTF
yes	U+7F8E	美	272057	U+7F99	羙	30994	8.778	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJMT3
yes	U+8C5D	豝	1017	U+7F93	羓	116	8.767	kSemanticVariant	GHJKpKT2	GHJKpKT3
yes	U+6CB1	沱	10524	U+6CB2	沲	1218	8.640	kSemanticVariant	GHJKpKT1V/AGTJHM	GHJKpKT3V
yes	U+8449	葉	326059	U+53F6	叶	37909	8.601	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJKpKT3/AGJ
yes	U+6F5D	潝	430	U+3D14	㴔	50	8.600	kSemanticVariant	GHJKpKT2	GJKpT4
yes	U+7A40	穀	83409	U+7CD3	糓	9723	8.579	kSemanticVariant	GHJKpKT1/AGTJHKMP	GHJKpKT3
yes	U+7CE7	糧	117861	U+7CAE	粮	13769	8.560	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJKpKT3V/AGKP
yes	U+57FC	埼	598	U+37E2	㟢	70	8.543	kSemanticVariant	GHJKpKT2/AGTJKP	GJTF
