cp_hex	char	count
U+9ED1	黑	187653
U+4EF0	仰	187078
U+523B	刻	187020
U+8D70	走	186520
U+8870	衰	186300
U+55AA	喪	186258
U+6368	捨	185880
U+5BC2	寂	185314
U+6821	校	185266
U+640D	損	184925
U+5F31	弱	184638
U+52E4	勤	184612
U+82F1	英	184119
U+96D9	雙	183893
U+5370	印	183344
U+54C0	哀	183333
U+8A5E	詞	183185
U+5B63	季	183101
U+7621	瘡	182994
U+9640	陀	182896
U+5F4C	彌	182712
U+8F2A	輪	182364
U+8AA4	誤	181110
U+6237	户	180743
U+64CA	擊	180697
U+5374	却	180227
U+9F13	鼓	180172
U+91AB	醫	179955
U+5A46	婆	179927
U+865E	虞	179612
U+5C06	将	179267
U+61F7	懷	179204
U+8CEA	質	179046
U+5366	卦	178959
U+8FFD	追	178004
U+5BAE	宮	177839
U+76D6	盖	177494
U+8D08	贈	177147
U+904D	遍	176870
U+6D17	洗	176698
U+6597	斗	176249
U+9055	違	176231
U+623F	房	175560
U+7F77	罷	174942
U+5348	午	174848
U+8CA0	負	174367
U+9686	隆	174292
U+816B	腫	174207
U+9304	錄	174020
U+9332	録	173947
U+5145	充	173435
U+5BF3	寳	173044
U+79D1	科	172908
U+6CF0	泰	172848
U+7235	爵	172250
U+96C4	雄	171317
U+5BB0	宰	171055
U+65E9	早	171009
U+7D2F	累	170998
U+771E	眞	170950
U+5EA7	座	170855
U+84BC	蒼	170761
U+5C08	專	169951
U+616E	慮	169115
U+6B65	步	169050
U+7344	獄	168664
U+6012	怒	168581
U+7DAD	維	168500
U+5712	園	168459
U+8CA1	財	168386
U+822C	般	168143
U+4E95	井	168016
U+7FFB	翻	166935
U+5915	夕	166640
U+9E7D	鹽	166322
U+8CDE	賞	166258
U+58EF	壯	166253
U+5E95	底	166060
U+5C09	尉	166041
U+5F81	征	165872
U+90ED	郭	165636
U+5371	危	165530
U+6B3D	欽	165470
U+55E3	嗣	165419
U+6C7A	決	165335
U+8C50	豐	165067
U+75F0	痰	164926
U+80CC	背	164921
U+8462	葢	164709
U+862D	蘭	164354
U+5F79	役	164134
U+6714	朔	163796
U+8CA2	貢	163591
U+68C4	棄	163481
U+6C41	汁	163330
U+4E57	乗	163233
U+526F	副	162934
U+65D7	旗	162885
U+969B	際	162513
U+7A0B	程	162091
U+55BB	喻	162029
U+818F	膏	161402
U+6765	来	161008
U+8700	蜀	160883
U+8FCE	迎	160865
U+6885	梅	160613
U+8F14	輔	160336
U+7E8C	續	159644
U+52A9	助	158647
U+6E29	温	158609
U+8853	術	158344
U+7099	炙	158212
U+82D3	苓	158203
U+96F7	雷	157562
U+67D4	柔	157529
U+4F50	佐	156820
U+60F1	惱	156589
U+4E19	丙	156570
U+6A4B	橋	156452
U+8CAC	責	156438
U+504F	偏	156286
U+60D1	惑	155860
U+8AA6	誦	155685
U+7009	瀉	155651
U+5EAB	庫	155636
U+6715	朕	155619
U+5F71	影	155409
U+6E38	游	155358
U+9707	震	155325
U+856D	蕭	155251
U+6C88	沈	155176
U+8AED	諭	155064
U+9010	逐	154889
U+7AE5	童	154486
U+8AE6	諦	154472
U+542B	含	154300
U+6C89	沉	153308
U+8FF0	述	153214
U+71D2	燒	153102
U+7AD2	竒	153078
U+5E02	市	152916
U+8CAA	貪	152914
U+8B1B	講	152901
U+90CA	郊	152607
U+65CF	族	152466
U+8A13	訓	152379
U+6295	投	152261
U+9592	閒	152006
U+61D0	懐	151890
U+5954	奔	151849
U+8B77	護	151762
U+8FE6	迦	151689
U+7E31	縱	151411
U+820C	舌	151409
U+6575	敵	151086
U+5E9A	庚	150544
U+6D1B	洛	150538
U+6D3B	活	150290
U+59D4	委	150171
U+64B0	撰	150042
U+69C3	槃	150023
U+7FBD	羽	149808
U+6843	桃	149431
U+8178	腸	149403
U+570D	圍	148916
U+971C	霜	148294
U+7E6B	繫	147785
U+52F8	勸	147523
U+5E25	帥	147197
U+7A0D	稍	147193
U+85A6	薦	147188
U+5426	否	146681
U+7D55	絕	146534
U+793E	社	146063
U+8FB2	農	145823
U+821E	舞	145814
U+7965	祥	145426
U+67D3	染	145263
U+6851	桑	145154
U+4F0A	伊	144561
U+3AD6	㫖	144484
U+4E73	乳	144041
U+9F3B	鼻	143323
U+7960	祠	143107
U+8521	蔡	142730
U+9EA5	麥	142274
U+6B4E	歎	142022
U+5439	吹	141729
U+5857	塗	141481
U+77ED	短	141391
U+6B74	歴	140945
U+6627	昧	140582
U+53AF	厯	140380
U+8DA3	趣	140050
U+7A74	穴	139817
U+907F	避	139772
U+7DE8	編	139518
U+79B9	禹	139235
U+61FC	懼	139114
U+969C	障	138449
U+5C4B	屋	138440
U+7D72	絲	138423
U+5747	均	138180
U+8085	肅	138135
U+9022	逢	138113
U+7ACA	竊	138078
U+582A	堪	137768
U+6756	杖	137363
U+52D2	勒	137299
U+6D25	津	137285
U+8CA7	貧	137153
U+9802	頂	136836
U+9038	逸	136814
U+5012	倒	136717
U+901F	速	136539
U+6C92	沒	136486
U+80F8	胸	136348
U+5C0E	導	136328
U+7A3D	稽	136260
U+6D85	涅	136172
U+752B	甫	135798
U+5F91	徑	135755
U+6A2A	横	135345
U+8A3B	註	135128
U+71C8	燈	134749
U+6028	怨	134611
U+96DE	雞	134358
U+7C4D	籍	134045
U+620A	戊	133724
U+66FD	曽	133708
U+65E6	旦	133170
U+8861	衡	133125
U+52AB	劫	132929
U+7891	碑	132900
U+79C0	秀	132715
U+248E5	𤣥	132691
U+9019	這	132674
U+4ED5	仕	132378
U+5DD6	巖	132377
U+9813	頓	132349
U+6B61	歡	132327
U+8FF7	迷	132240
U+68B5	梵	132205
U+9189	醉	132150
U+66C9	曉	131642
U+7247	片	131524
U+683C	格	131369
U+937E	鍾	131053
U+5BE9	審	130907
U+62DB	招	130907
U+96CD	雍	130854
U+8A0E	討	130700
U+832F	茯	130639
U+50CF	像	130553
U+6052	恒	129966
U+9072	遲	129944
U+798D	禍	129831
U+9298	銘	129787
U+59D1	姑	129727
U+7FF0	翰	129580
U+7D22	索	129495
U+9589	閉	129444
